galaxy,status,n_points,alpha,gamma,alpha_eff,gamma_eff,alpha_scaling,gamma_scaling,force_match,rms_velocity
UGC07125,ok,13,2.8271,0.8579,1.8006324870664427,0.8579,sigma_power,constant,False,14.504958967063331
UGC07151,ok,11,2.8271,0.8579,1.8357137324423682,0.8579,sigma_power,constant,False,9.562304844968292
UGC07261,ok,7,2.8271,0.8579,1.8534158307344022,0.8579,sigma_power,constant,False,19.43045972546055
UGC07323,ok,10,2.8271,0.8579,1.7753385326301836,0.8579,sigma_power,constant,False,4.446273619476598
UGC07399,ok,10,2.8271,0.8579,2.0848169189695565,0.8579,sigma_power,constant,False,48.412150088630305
UGC07524,ok,31,2.8271,0.8579,1.9527131336031691,0.8579,sigma_power,constant,False,24.54753950979547
UGC07559,ok,7,2.8271,0.8579,1.2519453610418314,0.8579,sigma_power,constant,False,6.4492754623239685
UGC07577,ok,9,2.8271,0.8579,0.8763602758808082,0.8579,sigma_power,constant,False,1.7638833614441756
UGC07603,ok,12,2.8271,0.8579,1.7523922433880745,0.8579,sigma_power,constant,False,24.99494288848614
UGC07608,ok,8,2.8271,0.8579,1.6632861865813118,0.8579,sigma_power,constant,False,30.107241192117836
UGC07690,ok,7,2.8271,0.8579,1.7218709452064223,0.8579,sigma_power,constant,False,11.514924295975787
UGC07866,ok,7,2.8271,0.8579,1.2500244609244935,0.8579,sigma_power,constant,False,6.440484385533056
UGC08286,ok,17,2.8271,0.8579,1.9838587702715127,0.8579,sigma_power,constant,False,34.267140441453236
UGC08490,ok,30,2.8271,0.8579,1.9433220240995595,0.8579,sigma_power,constant,False,37.6251275260801
UGC08550,ok,11,2.8271,0.8579,1.6544806305592787,0.8579,sigma_power,constant,False,24.35502093819216
UGC08699,ok,41,2.8271,0.8579,2.7194421466653913,0.8579,sigma_power,constant,False,35.81491960743928
UGC08837,ok,8,2.8271,0.8579,1.3531716089204433,0.8579,sigma_power,constant,False,7.472743913752354
UGC09037,ok,22,2.8271,0.8579,2.5563559753555882,0.8579,sigma_power,constant,False,30.959806538517167
UGC09133,ok,68,2.8271,0.8579,2.971368088529464,0.8579,sigma_power,constant,False,60.41418881798319
UGC10310,ok,7,2.8271,0.8579,1.8491477360061623,0.8579,sigma_power,constant,False,19.310643133880347
UGC11455,ok,36,2.8271,0.8579,3.1971037798033213,0.8579,sigma_power,constant,False,39.75955091153919
UGC11557,ok,12,2.8271,0.8579,1.8870426850801847,0.8579,sigma_power,constant,False,20.837740296482337
UGC11820,ok,10,2.8271,0.8579,1.6478300416035807,0.8579,sigma_power,constant,False,25.589178593020065
UGC11914,ok,65,2.8271,0.8579,3.2527936115925686,0.8579,sigma_power,constant,False,19.13060509292795
UGC12506,ok,31,2.8271,0.8579,3.0051872717041785,0.8579,sigma_power,constant,False,66.92505331101334
UGC12632,ok,15,2.8271,0.8579,1.8550125711456065,0.8579,sigma_power,constant,False,27.64372919362797
UGC12732,ok,16,2.8271,0.8579,2.0057994746828913,0.8579,sigma_power,constant,False,38.0476664136524
UGCA281,ok,7,2.8271,0.8579,1.2500244609244935,0.8579,sigma_power,constant,False,3.1548527991893356
UGCA442,ok,8,2.8271,0.8579,1.6481476496734273,0.8579,sigma_power,constant,False,26.001593451027585
UGCA444,ok,36,2.8271,0.8579,1.4118638576915528,0.8579,sigma_power,constant,False,14.031542139487675
