system,cohort,realization,local_jsd,simple_shape_jsd,cluster_locked_jsd,simple_improves_local,simple_beats_cluster_locked
MACS J0553.4-3342,development,28,0.19306782373700643,0.12818219425273097,0.005881884079624445,True,False
MACS J0553.4-3342,development,29,0.1966542901606418,0.1302560161723741,0.005260025358011538,True,False
MACS J0553.4-3342,development,30,0.19184146032677188,0.1276437378666125,0.007058764230323356,True,False
MACS J0553.4-3342,development,31,0.19841483477613073,0.13141661587973893,0.004589812350218445,True,False
MACS J0553.4-3342,development,32,0.19694699377265593,0.13098466349737203,0.005881539982383169,True,False
MACS J0553.4-3342,development,33,0.19338611347019916,0.12853573001778432,0.006753595949115171,True,False
MACS J0553.4-3342,development,34,0.19062295654154207,0.12647863009262503,0.006862835225437235,True,False
MACS J0553.4-3342,development,35,0.19715663492997088,0.13059116564246154,0.005760410434976442,True,False
MACS J0553.4-3342,development,36,0.1919169524995395,0.12766244702592514,0.006758620915920239,True,False
MACS J0553.4-3342,development,37,0.18787262803943047,0.1248867392062466,0.007758481010953296,True,False
MACS J0553.4-3342,development,38,0.19368957740564507,0.12833143631552563,0.00551528025347706,True,False
MACS J0553.4-3342,development,39,0.18565735025000835,0.12331301334655659,0.007919713593112415,True,False
MACS J0553.4-3342,development,40,0.19495126322631207,0.12935563524433907,0.006228186483633196,True,False
MACS J0553.4-3342,development,41,0.19590505309282424,0.12969528589482765,0.0056057031539564085,True,False
MACS J0553.4-3342,development,42,0.19960954918402615,0.13248837571582342,0.005082150007698903,True,False
MACS J0553.4-3342,development,43,0.19631165997533537,0.13063759502682765,0.007673791402095062,True,False
MACS J0553.4-3342,development,44,0.19948915078640636,0.1317236308660658,0.004377583307841018,True,False
MACS J0553.4-3342,development,45,0.19421619749200975,0.12881159421259375,0.005798687125301211,True,False
MACS J0553.4-3342,development,46,0.1924094648087949,0.12809249580029575,0.007307888250061714,True,False
MACS J0553.4-3342,development,47,0.19572750756381005,0.1299791745687891,0.006394721675892026,True,False
MACS J0553.4-3342,development,48,0.19567868728994947,0.1295582412102596,0.005013007970300875,True,False
MACS J0553.4-3342,development,49,0.19511245622967413,0.12918100594952361,0.00534196234132359,True,False
MACS J0553.4-3342,development,50,0.1898353565120561,0.1263377316517617,0.007522416509753815,True,False
MACS J0553.4-3342,development,51,0.19105566454444456,0.12654589062919439,0.005750101286143825,True,False
MACS J0553.4-3342,development,52,0.19453013307283656,0.1292845780625329,0.005909745663849637,True,False
MACS J0553.4-3342,development,53,0.19375058068101025,0.12832803327213357,0.0056804682877784115,True,False
MACS J0553.4-3342,development,54,0.1969252099347381,0.13034251954072631,0.0051889156922857735,True,False
MACS J0553.4-3342,development,55,0.19722742018214334,0.13071516207547884,0.005988834971997328,True,False
MACS J0553.4-3342,development,56,0.1917700894433189,0.1272158816664361,0.006101721613015054,True,False
MACS J0553.4-3342,development,57,0.1878634133179396,0.1242564756602725,0.005906022746844441,True,False
MACS J0553.4-3342,development,58,0.19058133293732737,0.12682930396207123,0.007533260480251079,True,False
MACS J0553.4-3342,development,59,0.1893880638955351,0.12588032582903483,0.0074227304277631944,True,False
MACS J0553.4-3342,development,60,0.19611395513260832,0.12976351451072454,0.00479414955598278,True,False
MACS J0553.4-3342,development,61,0.19387084873698313,0.12882800416773116,0.006405951646806439,True,False
MACS J0553.4-3342,development,62,0.19721785616541182,0.13119298979156926,0.00730425893748608,True,False
MACS J0553.4-3342,development,63,0.19214863341934307,0.12743849060865645,0.006169575663007916,True,False
MACS J0553.4-3342,development,64,0.19339211034419623,0.12824415549157825,0.006392177387681409,True,False
MACS J0553.4-3342,development,65,0.19236113454118026,0.12737227589441147,0.005773883239557589,True,False
MACS J0553.4-3342,development,66,0.19734323591973085,0.1306487612376641,0.004759222948745151,True,False
MACS J0553.4-3342,development,67,0.19054911064246474,0.12630881346181808,0.006237309259925594,True,False
MACS J0553.4-3342,development,68,0.20419671347877746,0.1372140814257186,0.012132120423922432,True,False
MACS J0553.4-3342,development,69,0.1916984097772051,0.12735280346004538,0.006277927409015971,True,False
MACS J0553.4-3342,development,70,0.19313289486610402,0.12798396396537812,0.006335489402456726,True,False
MACS J0553.4-3342,development,71,0.19433876891937557,0.1290678806236969,0.006770762878997884,True,False
MACS J0553.4-3342,development,72,0.19416213915021985,0.12859640846231432,0.00521273892314078,True,False
MACS J0553.4-3342,development,73,0.19211672204294267,0.1278640380208445,0.006952565233447652,True,False
MACS J0553.4-3342,development,74,0.19427064986475578,0.12931665753237767,0.0071012696263778605,True,False
MACS J0553.4-3342,development,75,0.18902885426552493,0.1257841966965521,0.007894121217646481,True,False
MACS J0553.4-3342,development,76,0.19352534510087968,0.1280806320872847,0.005524018506346149,True,False
MACS J0553.4-3342,development,77,0.19037987222732355,0.1264213454245957,0.006772427265011781,True,False
MACS J0553.4-3342,development,78,0.1938392559693451,0.12916184203522235,0.0074675221177156244,True,False
MACS J0553.4-3342,development,79,0.18812649019593436,0.12444788911623952,0.005947739011313827,True,False
MACS J0553.4-3342,development,80,0.19401686051091804,0.12840325951361464,0.005021735642871765,True,False
