domain,system,radius_kpc,gbar_m_s2,target_chi,conservative_delta_q_over_target_chi,passes_5_percent
SPARC,UGC02953,2.23,8.58112900354836e-10,1.7296983026213322e-06,844.001541483467,False
SPARC,UGC02953,2.32,8.227083167337151e-10,1.7037300232517537e-06,882.7470559676253,False
SPARC,UGC02953,2.4,7.937172497997265e-10,1.6815314612815764e-06,917.5369179082643,False
SPARC,UGC02953,2.49,7.637902484443153e-10,1.657468348903287e-06,957.442393155839,False
SPARC,UGC02953,2.58,7.368614199939042e-10,1.6342836452797039e-06,999.0710626422847,False
SPARC,UGC02953,2.67,7.129179517632168e-10,1.6118849062780308e-06,1043.2383344023433,False
SPARC,UGC02953,2.75,6.937968382242567e-10,1.5925663270087913e-06,1084.6718811709864,False
SPARC,UGC02953,2.83,6.765369012104118e-10,1.5737473729756017e-06,1128.393081093529,False
SPARC,UGC02953,2.92,6.591502790962562e-10,1.5531113306077828e-06,1180.5921563089873,False
SPARC,UGC02953,3.0,6.448065499782462e-10,1.5352039384729735e-06,1228.5108403189524,False
SPARC,UGC02953,3.09,6.296453071014655e-10,1.5155139669690137e-06,1283.7641531578138,False
SPARC,UGC02953,3.18,6.149116104839841e-10,1.496285865015861e-06,1338.9284229039083,False
SPARC,UGC02953,3.27,6.006041544113678e-10,1.4775064418148588e-06,1393.9681687838624,False
SPARC,UGC02953,3.35,5.881761303544224e-10,1.4611807826774002e-06,1442.5405890673935,False
SPARC,UGC02953,3.43,5.759594967592557e-10,1.4451935715151847e-06,1490.5162003414964,False
SPARC,UGC02953,4.21,4.720386465829935e-10,1.3048688271781004e-06,1939.3871403308062,False
SPARC,UGC02953,4.29,4.6328286663927166e-10,1.2920239470900972e-06,1985.870595368509,False
SPARC,UGC02953,4.38,4.535585685439283e-10,1.2778589697061949e-06,2036.873254185474,False
SPARC,UGC02953,4.47,4.443081228957607e-10,1.2639871475023246e-06,2088.7080838814845,False
SPARC,UGC02953,4.8,4.1296658145203294e-10,1.2154232993232157e-06,2278.3988516022614,False
SPARC,UGC02953,5.25,3.7830753430810947e-10,1.1542983352667522e-06,2560.4072467616265,False
SPARC,UGC02953,5.32,3.735185671692598e-10,1.1452640337073523e-06,2606.0784597878774,False
SPARC,UGC02953,5.41,3.673771500493663e-10,1.1338173749117287e-06,2663.515659833585,False
SPARC,UGC02953,5.5,3.612790544863437e-10,1.1225598136128917e-06,2719.6668316500345,False
SPARC,UGC02953,5.58,3.5576247062006484e-10,1.1127125982137931e-06,2766.909602667396,False
SPARC,UGC02953,5.67,3.4923980585986173e-10,1.1018204843555857e-06,2814.300765591577,False
SPARC,UGC02953,5.76,3.433414317281027e-10,1.091120272529984e-06,2866.760816542411,False
SPARC,UGC02953,6.0,3.283820502109173e-10,1.0634457003454603e-06,3006.1486717924395,False
SPARC,UGC02953,6.18,3.177099118021106e-10,1.043481772716018e-06,3108.200237587476,False
SPARC,UGC02953,6.27,3.126309652544135e-10,1.033743159336409e-06,3159.7331185600765,False
SPARC,UGC02953,6.36,3.077841842863304e-10,1.0241578960349975e-06,3212.71944531319,False
SPARC,UGC02953,6.45,3.031678877728203e-10,1.0147188349811775e-06,3267.374928059028,False
SPARC,UGC02953,6.53,2.992506541517346e-10,1.0064457504595219e-06,3317.4430497991243,False
SPARC,UGC02953,6.61,2.9558107956971996e-10,9.982768564651256e-07,3370.322499026984,False
SPARC,UGC02953,6.7,2.9176107749242755e-10,9.89202562860872e-07,3433.764962288032,False
SPARC,UGC02953,6.79,2.882698421674551e-10,9.802412260978747e-07,3501.898413742159,False
SPARC,UGC02953,6.87,2.846807566966854e-10,9.723728282959195e-07,3552.640248364489,False
SPARC,UGC02953,6.96,2.813058886464738e-10,9.636284721583997e-07,3620.8071823240157,False
SPARC,UGC02953,7.05,2.779305176017094e-10,9.549884055746097e-07,3687.991663983605,False
SPARC,UGC02953,7.2,2.7208491478224277e-10,9.408257309441828e-07,3792.949035292411,False
SPARC,UGC02953,7.39,2.64117494633535e-10,9.233368707587951e-07,3907.6670890747096,False
SPARC,UGC02953,7.47,2.604658417724325e-10,9.161327062474012e-07,3946.59974447606,False
SPARC,UGC02953,7.99,2.3794110382471533e-10,8.71642279325015e-07,4178.644088564456,False
SPARC,UGC02953,8.08,2.345827162264625e-10,8.643419011270744e-07,4224.0613482772105,False
SPARC,UGC02953,8.16,2.3158380061336134e-10,8.579399816531805e-07,4262.167551496704,False
SPARC,UGC02953,8.25,2.2873036308434947e-10,8.508282396789914e-07,4317.603816771645,False
SPARC,UGC02953,8.34,2.2593260501431748e-10,8.438038073035841e-07,4373.032309505608,False
SPARC,UGC02953,8.4,2.2407356185748853e-10,8.391688166848904e-07,4409.266620486924,False
SPARC,UGC02953,9.59,1.8915147040036754e-10,7.547551573538787e-07,5021.724751787576,False
SPARC,UGC02953,10.8,1.6064467754696923e-10,6.820978102591181e-07,5567.857946676175,False
SPARC,UGC02953,12.02,1.4159082707449358e-10,6.188006166258444e-07,6337.46336412165,False
SPARC,UGC02953,13.22,1.2507068089585772e-10,5.638692099564152e-07,7020.995723570725,False
SPARC,UGC02953,14.42,1.0837246857755464e-10,5.157806775112221e-07,7387.695955081198,False
SPARC,UGC02953,15.63,9.159191802223712e-11,4.742453949501364e-07,7340.520258946996,False
SPARC,UGC02953,16.83,7.774624659022092e-11,4.3936228168875065e-07,7184.106576265084,False
SPARC,UGC02953,18.03,6.806690093628121e-11,4.0932524572697125e-07,7251.898034364352,False
SPARC,UGC02953,19.23,6.011140466947395e-11,3.829209300646936e-07,7318.291936764163,False
SPARC,UGC02953,20.43,5.3271242495897996e-11,3.5956447210380203e-07,7336.486317343805,False
SPARC,UGC02953,21.64,4.746352017668962e-11,3.386405120803416e-07,7346.978591199729,False
SPARC,UGC02953,22.84,4.249959603269468e-11,3.201084016180537e-07,7331.815646584621,False
SPARC,UGC02953,24.04,3.811727413347717e-11,3.0350158755920975e-07,7271.247959789695,False
