galaxy,sigma_v,rms_gr,rms_pair,delta_rms,improvement_pct
UGC07866,3.9,7.480355756414136,6.430645117172561,-1.0497106392415754,14.032897276863954
UGC08286,12.375,36.6726781610861,30.271309741183618,-6.401368419902479,17.455415696078237
UGC08490,11.7525,38.25426280569027,30.519627015039966,-7.734635790650302,20.2190167143929
UGC08550,7.86,24.99854471571737,21.506394466480163,-3.4921502492372056,13.969414175704319
UGC08699,27.225,38.29257854611432,30.55153181080382,-7.741046735310501,20.215527470912537
UGC08837,4.755,7.952404742389242,4.521153243710244,-3.431251498678998,43.1473448577028
UGC09037,23.325,31.128091400079775,39.76433667575565,8.636245275675876,-27.744217159596694
UGC09133,33.975,61.91748044477971,53.187567199327304,-8.729913245452408,14.099270808084748
UGC10310,10.38,22.50539817651381,14.513693469006421,-7.99170470750739,35.51016802647542
UGC11455,40.8,39.82149446522485,45.469036741762125,5.647542276537273,-14.182145477913027
UGC11557,10.92,20.837740296482337,35.96595905347043,15.12821875698809,-72.60009262876703
UGC11820,7.78125,27.350315053297003,13.821191435934818,-13.529123617362185,49.466061326892415
UGC11914,42.6,20.216150253791284,22.021161467465223,1.8050112136739394,-8.928560537065817
UGC12506,34.95,78.84357368691505,61.35502898683883,-17.48854470007622,22.181319138985998
UGC12632,10.4625,28.541353368849645,19.42645550869687,-9.114897860152777,31.935759115406487
UGC12732,12.72,38.50841686062227,24.75709365350987,-13.7513232071124,35.709915722799174
UGCA281,3.9,6.731165308050977,6.417556620375545,-0.3136086876754316,4.659054908372733
UGCA442,7.784999999999999,26.097011285652165,22.1791009601111,-3.917910325541065,15.012869798217418
UGCA444,5.2875,14.062050109758859,13.227137372763568,-0.8349127369952907,5.937347189624031
