a,D,f
1.302416831225733894e-03,1.280090099161840852e-03,8.834815104387599982e-01
1.304667968639895747e-03,1.282044090619907173e-03,8.829793866668673719e-01
1.306922996989381969e-03,1.283999954469590898e-03,8.824800836426927031e-01
1.309181922999407780e-03,1.285957696437169118e-03,8.819835929144937969e-01
1.311444753406807362e-03,1.287917322262624540e-03,8.814899060696999022e-01
1.313711494960062695e-03,1.289878837699687123e-03,8.809990147450244002e-01
1.315982154419320259e-03,1.291842248515877442e-03,8.805109106203347080e-01
1.318256738556407076e-03,1.293807560492545939e-03,8.800255854170504488e-01
1.320535254154859769e-03,1.295774779424918024e-03,8.795430309059825147e-01
1.322817708009934971e-03,1.297743911122141132e-03,8.790632388994165103e-01
1.325104106928638161e-03,1.299714961407320282e-03,8.785862012504235263e-01
1.327394457729739932e-03,1.301687936117564047e-03,8.781119098597955919e-01
1.329688767243793548e-03,1.303662841104027493e-03,8.776403566668085077e-01
1.331987042313162927e-03,1.305639682231954455e-03,8.771715336561625165e-01
1.334289289792033473e-03,1.307618465380720480e-03,8.767054328536953989e-01
1.336595516546443090e-03,1.309599196443875105e-03,8.762420463261437753e-01
1.338905729454291718e-03,1.311581881329190432e-03,8.757813661876137079e-01
1.341219935405371048e-03,1.313566525958704276e-03,8.753233845872447905e-01
1.343538141301381210e-03,1.315553136268761587e-03,8.748680937228581200e-01
1.345860354055948343e-03,1.317541718210063885e-03,8.744154858263883945e-01
1.348186580594652566e-03,1.319532277747705040e-03,8.739655531735097682e-01
1.350516827855039684e-03,1.321524820861220929e-03,8.735182880811560580e-01
1.352851102786650252e-03,1.323519353544638007e-03,8.730736829081766626e-01
1.355189412351036696e-03,1.325515881806516895e-03,8.726317300528750875e-01
1.357531763521780017e-03,1.327514411669993791e-03,8.721924219501131503e-01
1.359878163284520148e-03,1.329514949172826014e-03,8.717557510786708708e-01
1.362228618636965706e-03,1.331517500367445121e-03,8.713217099569939839e-01
1.364583136588924358e-03,1.333522071320998115e-03,8.708902911420868254e-01
1.366941724162319292e-03,1.335528668115394278e-03,8.704614872292935068e-01
1.369304388391207441e-03,1.337537296847350057e-03,8.700352908534174645e-01
