model,routing_fraction,system_label,variant_id,source_family,source_redshift,observed_images,global_roots,surplus_roots,missing_roots,unassigned_roots,potentially_observable_surplus_roots,faintest_assigned_abs_magnification,observable_surplus_abs_magnification_threshold,all_observed_images_assigned,assignment_RMS_arcsec,assignment_max_arcsec,multiplicity_classification,parity_diverse,critical_sign_change_cells,critical_curve_present
linear_route_10_f0p4,0.4,RXJ2129,linear_route_10_f0p4,6,3.0815,3,5,2,0,2,2,1.7813509932128513,0.4453377483032128,True,2.6610994510144126,4.5012263495231775,potentially_observable_surplus,True,448,True
linear_route_10_f0p4,0.4,RXJ2129,linear_route_10_f0p4,7,3.427,3,3,0,0,0,0,2.02880797888099,0.5072019947202475,True,4.31587299327642,7.314911504143018,exact_multiplicity,True,456,True
linear_route_11_f0p5,0.5,RXJ2129,linear_route_11_f0p5,1,0.6786,3,3,0,0,0,0,2.3760683431246146,0.5940170857811536,True,5.506703177548944,9.440584678637956,exact_multiplicity,True,266,True
linear_route_11_f0p5,0.5,RXJ2129,linear_route_11_f0p5,2,0.916,3,5,2,0,2,2,2.5690448305144264,0.6422612076286066,True,1.9299710966804886,3.236966237307569,potentially_observable_surplus,True,316,True
linear_route_11_f0p5,0.5,RXJ2129,linear_route_11_f0p5,3,1.5194,4,5,1,0,1,1,1.9385279763682548,0.4846319940920637,True,5.6288120196873175,9.426537827905229,potentially_observable_surplus,True,390,True
linear_route_11_f0p5,0.5,RXJ2129,linear_route_11_f0p5,4,1.5202,3,5,2,0,2,2,2.081037768228929,0.5202594420572323,True,5.697368001504723,9.778290724550597,potentially_observable_surplus,True,390,True
linear_route_11_f0p5,0.5,RXJ2129,linear_route_11_f0p5,5,1.521,3,3,0,0,0,0,4.345996419787782,1.0864991049469455,True,4.792406886367964,8.155694892175662,exact_multiplicity,True,390,True
linear_route_11_f0p5,0.5,RXJ2129,linear_route_11_f0p5,6,3.0815,3,5,2,0,2,2,0.9961339018762417,0.24903347546906043,True,3.3972537706910186,5.825284263579764,potentially_observable_surplus,True,466,True
linear_route_11_f0p5,0.5,RXJ2129,linear_route_11_f0p5,7,3.427,3,5,2,0,2,2,1.8417773145358936,0.4604443286339734,True,5.708060778573501,9.513799269453367,potentially_observable_surplus,True,480,True
linear_route_12_f0p6,0.6,RXJ2129,linear_route_12_f0p6,1,0.6786,3,5,2,0,2,2,2.198168176276828,0.549542044069207,True,7.171744166109579,12.369050122481402,potentially_observable_surplus,True,258,True
linear_route_12_f0p6,0.6,RXJ2129,linear_route_12_f0p6,2,0.916,3,5,2,0,2,2,1.317378696764757,0.32934467419118924,True,4.087159523467194,7.074987077541985,potentially_observable_surplus,True,290,True
linear_route_12_f0p6,0.6,RXJ2129,linear_route_12_f0p6,3,1.5194,4,3,0,1,0,0,1.9789140488150703,0.49472851220376757,False,,16.229608844086396,missing_multiplicity,True,336,True
linear_route_12_f0p6,0.6,RXJ2129,linear_route_12_f0p6,4,1.5202,3,5,2,0,2,2,0.8682290397158232,0.2170572599289558,True,10.683237064523682,18.313463715623694,potentially_observable_surplus,True,336,True
linear_route_12_f0p6,0.6,RXJ2129,linear_route_12_f0p6,5,1.521,3,7,4,0,4,3,7.221209888826928,1.805302472206732,True,3.928222555021535,5.8855697984378015,potentially_observable_surplus,True,336,True
linear_route_12_f0p6,0.6,RXJ2129,linear_route_12_f0p6,6,3.0815,3,3,0,0,0,0,1.0160438470874782,0.25401096177186955,True,3.470620189909644,5.573920246657881,exact_multiplicity,True,382,True
linear_route_12_f0p6,0.6,RXJ2129,linear_route_12_f0p6,7,3.427,3,5,2,0,2,2,0.737738104780157,0.18443452619503925,True,13.175716553554805,22.708436503932553,potentially_observable_surplus,True,392,True
linear_route_13_f0p7,0.7,RXJ2129,linear_route_13_f0p7,1,0.6786,3,5,2,0,2,2,2.2304263051456155,0.5576065762864039,True,6.9620875931690644,11.934106188393116,potentially_observable_surplus,True,286,True
linear_route_13_f0p7,0.7,RXJ2129,linear_route_13_f0p7,2,0.916,3,5,2,0,2,2,1.103798443475664,0.275949610868916,True,3.845551178112051,6.613872538784551,potentially_observable_surplus,True,336,True
linear_route_13_f0p7,0.7,RXJ2129,linear_route_13_f0p7,3,1.5194,4,3,0,1,0,0,1.5608724301319779,0.39021810753299446,False,,22.359997661237323,missing_multiplicity,True,416,True
linear_route_13_f0p7,0.7,RXJ2129,linear_route_13_f0p7,4,1.5202,3,5,2,0,2,2,0.6521032779063822,0.16302581947659556,True,9.981875877364788,17.058470825757524,potentially_observable_surplus,True,416,True
linear_route_13_f0p7,0.7,RXJ2129,linear_route_13_f0p7,5,1.521,3,5,2,0,2,1,4.817046911570597,1.2042617278926493,True,2.767822319783228,4.1090380232807915,potentially_observable_surplus,True,414,True
linear_route_13_f0p7,0.7,RXJ2129,linear_route_13_f0p7,6,3.0815,3,5,2,0,2,2,0.974579832396071,0.24364495809901776,True,3.2134818228780424,5.0310101112596755,potentially_observable_surplus,True,494,True
linear_route_13_f0p7,0.7,RXJ2129,linear_route_13_f0p7,7,3.427,3,5,2,0,2,2,0.8682239845987182,0.21705599614967955,True,13.00290459603753,22.230220441063032,potentially_observable_surplus,True,514,True
linear_route_14_f0p8,0.8,RXJ2129,linear_route_14_f0p8,1,0.6786,3,3,0,0,0,0,2.0726965562877857,0.5181741390719464,True,15.120441073362507,25.46777390261821,exact_multiplicity,True,312,True
linear_route_14_f0p8,0.8,RXJ2129,linear_route_14_f0p8,2,0.916,3,5,2,0,2,2,0.8236166297300226,0.20590415743250565,True,4.1098286708622185,5.712113416864952,potentially_observable_surplus,True,376,True
