system,cohort,candidate_id,carrier,arrival_smoothing_kpc,route_fraction_f,jensen_shannon,pearson,normalized_RMSE,centroid_offset_kpc
MACS J0553.4-3342,development,field_weighted__w20__f0.4,field_weighted,20.0,0.4,0.006852012554677184,0.92562020356764,0.19493384811646355,11.45550879008125
MACS J0553.4-3342,development,field_weighted__w20__f0.6,field_weighted,20.0,0.6,0.009230971955204325,0.8909344976952442,0.2401269063145949,12.660151718321522
MACS J0553.4-3342,development,field_weighted__w20__f0.8,field_weighted,20.0,0.8,0.012393437517218041,0.8495016384373136,0.28953917124200057,14.007219675479663
MACS J0553.4-3342,development,field_weighted__w20__f1,field_weighted,20.0,1.0,0.016417643010786624,0.8042006919172539,0.3413432389594839,15.459526711976856
MACS J0553.4-3342,development,field_weighted__w50__f0.05,field_weighted,50.0,0.05,0.0044052947320140975,0.9624642633666907,0.13751408128292614,9.794004789271733
MACS J0553.4-3342,development,field_weighted__w50__f0.1,field_weighted,50.0,0.1,0.004530663574211113,0.9607991814092545,0.14046610089415956,9.910428276185675
MACS J0553.4-3342,development,field_weighted__w50__f0.2,field_weighted,50.0,0.2,0.004823223211930867,0.9567503685904128,0.14738759453535794,10.15621943992523
MACS J0553.4-3342,development,field_weighted__w50__f0.4,field_weighted,50.0,0.4,0.005576342971672792,0.9457412254673218,0.1646588733212282,10.695305093248813
MACS J0553.4-3342,development,field_weighted__w50__f0.6,field_weighted,50.0,0.6,0.006555865258988691,0.9308576224875124,0.1854046963569535,11.290059339044191
MACS J0553.4-3342,development,field_weighted__w50__f0.8,field_weighted,50.0,0.8,0.007766363817557633,0.9122307290487318,0.2085909241225817,11.932160736275513
MACS J0553.4-3342,development,field_weighted__w50__f1,field_weighted,50.0,1.0,0.009214550216478122,0.8901257542861429,0.23349167254682077,12.614381114790675
MACS J0553.4-3342,development,field_weighted__w100__f0.05,field_weighted,100.0,0.05,0.004447147193541404,0.9631201503917797,0.13638584455595895,9.70249639765521
MACS J0553.4-3342,development,field_weighted__w100__f0.1,field_weighted,100.0,0.1,0.0046237820385364465,0.9622563491084266,0.13831053765565396,9.729733826220794
MACS J0553.4-3342,development,field_weighted__w100__f0.2,field_weighted,100.0,0.2,0.005045594234902242,0.9602266639109824,0.1434913608089577,9.804505663627085
MACS J0553.4-3342,development,field_weighted__w100__f0.4,field_weighted,100.0,0.4,0.006154685551950362,0.9547230745374271,0.1584926357192593,10.032832367845923
MACS J0553.4-3342,development,field_weighted__w100__f0.6,field_weighted,100.0,0.6,0.007604745988929034,0.9467385636385128,0.17831716591796928,10.360084398375877
MACS J0553.4-3342,development,field_weighted__w100__f0.8,field_weighted,100.0,0.8,0.009384790687135833,0.9354050559522621,0.20154666675026595,10.777253897380914
MACS J0553.4-3342,development,field_weighted__w100__f1,field_weighted,100.0,1.0,0.011488248687129167,0.9195607417341802,0.2271388501085103,11.274364008791
MACS J0553.4-3342,development,tidal_weighted__w20__f0.05,tidal_weighted,20.0,0.05,0.004409088171181815,0.9615076598045492,0.139794874070679,9.600552438505987
MACS J0553.4-3342,development,tidal_weighted__w20__f0.1,tidal_weighted,20.0,0.1,0.004606048497355436,0.9582166647986288,0.14690397222021884,9.521915638630302
MACS J0553.4-3342,development,tidal_weighted__w20__f0.2,tidal_weighted,20.0,0.2,0.005240462624578758,0.9493676275668018,0.16662394252370955,9.373681650489228
MACS J0553.4-3342,development,tidal_weighted__w20__f0.4,tidal_weighted,20.0,0.4,0.0074536061173141365,0.9253550178966644,0.22035140873024556,9.115367616303846
MACS J0553.4-3342,development,tidal_weighted__w20__f0.6,tidal_weighted,20.0,0.6,0.010928265873485075,0.8970000675320482,0.28386650406749353,8.911521979369683
MACS J0553.4-3342,development,tidal_weighted__w20__f0.8,tidal_weighted,20.0,0.8,0.015722945411402248,0.8675594770963306,0.3519089152443204,8.765945431611923
MACS J0553.4-3342,development,tidal_weighted__w20__f1,tidal_weighted,20.0,1.0,0.021973411383887167,0.8388682013302218,0.4222958924974354,8.681569716588838
MACS J0553.4-3342,development,tidal_weighted__w50__f0.05,tidal_weighted,50.0,0.05,0.00432755844431444,0.9627433640159276,0.1372356295002753,9.574892929808899
MACS J0553.4-3342,development,tidal_weighted__w50__f0.1,tidal_weighted,50.0,0.1,0.00438228081580986,0.9614090741080312,0.14006752210747228,9.46783799000295
MACS J0553.4-3342,development,tidal_weighted__w50__f0.2,tidal_weighted,50.0,0.2,0.0045553960109233835,0.9582363306899014,0.14718780822621275,9.254222841321592
MACS J0553.4-3342,development,tidal_weighted__w50__f0.4,tidal_weighted,50.0,0.4,0.00516205755512305,0.9501986172362875,0.1662947677383986,8.829138850818017
MACS J0553.4-3342,development,tidal_weighted__w50__f0.6,tidal_weighted,50.0,0.6,0.006130959000999999,0.9404506648525935,0.19019903645896108,8.407278040628427
MACS J0553.4-3342,development,tidal_weighted__w50__f0.8,tidal_weighted,50.0,0.8,0.007487588253256773,0.9295398945776057,0.2173233120691017,7.9891510195423034
MACS J0553.4-3342,development,tidal_weighted__w50__f1,tidal_weighted,50.0,1.0,0.009268874619712358,0.9178999826122728,0.24660737067952532,7.575376078379541
MACS J0553.4-3342,development,tidal_weighted__w100__f0.05,tidal_weighted,100.0,0.05,0.004357948611475058,0.9636911801344457,0.13529714914038646,9.536119308357225
MACS J0553.4-3342,development,tidal_weighted__w100__f0.1,tidal_weighted,100.0,0.1,0.0044365542812682315,0.9634242036723654,0.1359402573721844,9.404787498223115
MACS J0553.4-3342,development,tidal_weighted__w100__f0.2,tidal_weighted,100.0,0.2,0.004636792521074048,0.9626791638133825,0.13804239693490616,9.18853066165321
MACS J0553.4-3342,development,tidal_weighted__w100__f0.4,tidal_weighted,100.0,0.4,0.00520653404207279,0.9602270359430263,0.14531318571639268,8.955660295734289
