case,domain,scenario,Lc_kpc,q,activation_weighted_mean,activation_median,activation_p90,activation_maximum,activation_r80_kpc,activation_active_pixels,geometry_weighted_mean,cancellation_weighted_mean,trace_length_weighted_mean_kpc
DDO126,sealed_galaxy_baryons_only,low,10.0,1.0,0.0007430742402614759,0.00019491116280886356,0.002432759194415942,0.02163508848161882,3.426718341915738,1027,0.000757803697892215,0.009058684585974667,1.6976147426413002
DDO126,sealed_galaxy_baryons_only,low,10.0,2.0,0.00012457834248786966,2.8053426662680772e-05,0.0003383898540665121,0.004490460210685823,3.426718341915738,1027,0.00012729877444057826,0.009058684585974667,1.6976147426413002
DDO126,sealed_galaxy_baryons_only,low,30.0,0.5,0.0013088929170533793,0.00029667931029320416,0.005005085045477852,0.0385242037940687,3.426718341915738,1027,0.0013331954446517604,0.009058684585974667,1.6976147426413002
DDO126,sealed_galaxy_baryons_only,low,30.0,1.0,0.00026074946220283135,6.931068071225535e-05,0.000847442941325816,0.007607055567115386,3.426718341915738,1027,0.0002659440327031843,0.009058684585974667,1.6976147426413002
DDO126,sealed_galaxy_baryons_only,low,30.0,2.0,1.4694797681563677e-05,3.142457461052396e-06,3.9909674913431864e-05,0.0006538988134401964,3.426718341915738,1027,1.5017125792540195e-05,0.009058684585974667,1.6976147426413002
DDO126,sealed_galaxy_baryons_only,low,100.0,0.5,0.0007466313252087733,0.00016929760594600293,0.0028631308593713226,0.02153544046340732,3.426718341915738,1027,0.0007605324642773174,0.009058684585974667,1.6976147426413002
DDO126,sealed_galaxy_baryons_only,low,100.0,1.0,7.971574423118012e-05,2.1330766169815757e-05,0.0002582110829862312,0.0023256886179311327,3.426718341915738,1027,8.130676773159687e-05,0.009058684585974667,1.6976147426413002
DDO126,sealed_galaxy_baryons_only,low,100.0,2.0,1.3332301245528595e-06,2.8311063134065596e-07,3.6006817710096652e-06,6.237911553453233e-05,3.426718341915738,1027,1.3624924614497276e-06,0.009058684585974667,1.6976147426413002
DDO126,sealed_galaxy_baryons_only,nominal,3.0,0.5,0.004902271028419465,0.0012156726398134914,0.01745586955276963,0.10155607510573726,3.37119138389492,1000,0.005016310114783436,0.012252249727582896,1.6795166221518256
DDO126,sealed_galaxy_baryons_only,nominal,3.0,1.0,0.003170585658908866,0.0008903045365357004,0.009596062825434393,0.07959928881402667,3.37119138389492,1000,0.0032465223351786426,0.012252249727582896,1.6795166221518256
DDO126,sealed_galaxy_baryons_only,nominal,3.0,2.0,0.001613045117445508,0.00045436407597126835,0.004459858799945984,0.05299160214682366,3.37119138389492,1000,0.001653329822959994,0.012252249727582896,1.6795166221518256
DDO126,sealed_galaxy_baryons_only,nominal,10.0,0.5,0.003041989085734446,0.0007732967560690568,0.010520248497578651,0.06428323496201375,3.37119138389492,1000,0.003113016569753683,0.012252249727582896,1.6795166221518256
DDO126,sealed_galaxy_baryons_only,nominal,10.0,1.0,0.001126900727002061,0.0003233166729783991,0.003538728902919664,0.02902505720902311,3.37119138389492,1000,0.0011540817979889136,0.012252249727582896,1.6795166221518256
DDO126,sealed_galaxy_baryons_only,nominal,10.0,2.0,0.00020553143721747585,4.7539025596014315e-05,0.0005511472803130907,0.010272852533451783,3.37119138389492,1000,0.00021070383268121003,0.012252249727582896,1.6795166221518256
DDO126,sealed_galaxy_baryons_only,nominal,30.0,0.5,0.001878779564476107,0.00048037020005876495,0.006482018194204936,0.040095815958600005,3.37119138389492,1000,0.0019227377082800389,0.012252249727582896,1.6795166221518256
DDO126,sealed_galaxy_baryons_only,nominal,30.0,1.0,0.0003971317368993075,0.00011508258312666113,0.0011907505520907464,0.010256878654330913,3.37119138389492,1000,0.00040673270265324,0.012252249727582896,1.6795166221518256
DDO126,sealed_galaxy_baryons_only,nominal,30.0,2.0,2.4360070513694517e-05,5.365496405654582e-06,6.375175328594823e-05,0.0014910621947196478,3.37119138389492,1000,2.497378093586727e-05,0.012252249727582896,1.6795166221518256
DDO126,sealed_galaxy_baryons_only,nominal,100.0,0.5,0.0010741937545341745,0.0002761201513521749,0.0036521791784290777,0.023060718249041236,3.37119138389492,1000,0.0010993602903612448,0.012252249727582896,1.6795166221518256
DDO126,sealed_galaxy_baryons_only,nominal,100.0,1.0,0.00012160625288127835,3.5087451358939195e-05,0.0003582929049971058,0.003141485283924042,3.37119138389492,1000,0.0001245486569465081,0.012252249727582896,1.6795166221518256
