candidate_id,q_R80,route_fraction,gate_power,fold,training_galaxies,test_galaxies,training_equal_galaxy_RMSE_km_s,test_equal_galaxy_RMSE_km_s
q0.75__f0.05__n6__RAR,0.75,0.05,6.0,0,109,22,11.251735718227572,8.123190158000808
q0.75__f0.05__n6__RAR,0.75,0.05,6.0,1,97,34,11.038241125467176,10.047706890750277
q0.75__f0.05__n6__RAR,0.75,0.05,6.0,2,108,23,11.270997150889446,8.159938696347927
q0.75__f0.05__n6__RAR,0.75,0.05,6.0,3,106,25,9.831901099326016,14.148697300927576
q0.75__f0.05__n6__RAR,0.75,0.05,6.0,4,104,27,10.479054907954865,11.911657746739253
q0.75__f0.05__n8__RAR,0.75,0.05,8.0,0,109,22,11.249692358744637,8.123865359736971
q0.75__f0.05__n8__RAR,0.75,0.05,8.0,1,97,34,11.03735341767719,10.04350628559009
q0.75__f0.05__n8__RAR,0.75,0.05,8.0,2,108,23,11.269085055912646,8.15963058852586
q0.75__f0.05__n8__RAR,0.75,0.05,8.0,3,106,25,9.829572922564855,14.14881303505583
q0.75__f0.05__n8__RAR,0.75,0.05,8.0,4,104,27,10.477833595122572,11.908379391046994
q0.75__f0.1__n0__RAR,0.75,0.1,0.0,0,109,22,11.129528193513345,8.096389715512814
q0.75__f0.1__n0__RAR,0.75,0.1,0.0,1,97,34,10.930723181802502,9.93203690794266
q0.75__f0.1__n0__RAR,0.75,0.1,0.0,2,108,23,11.156583059581129,8.07810142787263
q0.75__f0.1__n0__RAR,0.75,0.1,0.0,3,106,25,9.71564544338859,14.053941377733578
q0.75__f0.1__n0__RAR,0.75,0.1,0.0,4,104,27,10.393595037690927,11.720166050352372
q0.75__f0.1__n1__RAR,0.75,0.1,1.0,0,109,22,11.177767617298201,8.032653973539848
q0.75__f0.1__n1__RAR,0.75,0.1,1.0,1,97,34,10.949568815253802,10.012671964302442
q0.75__f0.1__n1__RAR,0.75,0.1,1.0,2,108,23,11.18908694675681,8.121675089198424
q0.75__f0.1__n1__RAR,0.75,0.1,1.0,3,106,25,9.75809533013999,14.063973767944942
q0.75__f0.1__n1__RAR,0.75,0.1,1.0,4,104,27,10.419167317691027,11.782139650206956
q0.75__f0.1__n2__RAR,0.75,0.1,2.0,0,109,22,11.163908989237278,8.006414621867323
q0.75__f0.1__n2__RAR,0.75,0.1,2.0,1,97,34,10.932271308841413,10.003424546440561
q0.75__f0.1__n2__RAR,0.75,0.1,2.0,2,108,23,11.172495818371033,8.1138031499002
q0.75__f0.1__n2__RAR,0.75,0.1,2.0,3,106,25,9.74157170019257,14.051376851080946
q0.75__f0.1__n2__RAR,0.75,0.1,2.0,4,104,27,10.406541564871153,11.757496987205426
q0.75__f0.1__n4__RAR,0.75,0.1,4.0,0,109,22,11.15426708583518,7.999236538390336
q0.75__f0.1__n4__RAR,0.75,0.1,4.0,1,97,34,10.926266036857134,9.983926320454968
q0.75__f0.1__n4__RAR,0.75,0.1,4.0,2,108,23,11.162793762424332,8.106888079440512
q0.75__f0.1__n4__RAR,0.75,0.1,4.0,3,106,25,9.72816277940446,14.053782055967655
q0.75__f0.1__n4__RAR,0.75,0.1,4.0,4,104,27,10.398838368076307,11.742815717597749
q0.75__f0.1__n6__RAR,0.75,0.1,6.0,0,109,22,11.148428926583922,8.000366843012246
q0.75__f0.1__n6__RAR,0.75,0.1,6.0,1,97,34,10.923843838480057,9.971161010432136
q0.75__f0.1__n6__RAR,0.75,0.1,6.0,2,108,23,11.157387534476607,8.104843051305364
q0.75__f0.1__n6__RAR,0.75,0.1,6.0,3,106,25,9.720951729588544,14.055307075289512
q0.75__f0.1__n6__RAR,0.75,0.1,6.0,4,104,27,10.395160385165866,11.733601183061149
q0.75__f0.1__n8__RAR,0.75,0.1,8.0,0,109,22,11.144557764101426,8.002335660980922
q0.75__f0.1__n8__RAR,0.75,0.1,8.0,1,97,34,10.92228028225806,9.963193324476432
q0.75__f0.1__n8__RAR,0.75,0.1,8.0,2,108,23,11.153854238621332,8.104307511617122
q0.75__f0.1__n8__RAR,0.75,0.1,8.0,3,106,25,9.716600577551995,14.055664935060951
q0.75__f0.1__n8__RAR,0.75,0.1,8.0,4,104,27,10.393007134489729,11.727194478824076
q0.75__f0.15__n0__RAR,0.75,0.15,0.0,0,109,22,11.036996279366473,8.059853311174333
q0.75__f0.15__n0__RAR,0.75,0.15,0.0,1,97,34,10.84063123124405,9.863245431387925
q0.75__f0.15__n0__RAR,0.75,0.15,0.0,2,108,23,11.064878017606116,8.03364849934489
q0.75__f0.15__n0__RAR,0.75,0.15,0.0,3,106,25,9.626755576039399,13.976443922621433
q0.75__f0.15__n0__RAR,0.75,0.15,0.0,4,104,27,10.333256263436992,11.550677721098694
q0.75__f0.15__n1__RAR,0.75,0.15,1.0,0,109,22,11.098213911556707,7.940409827335704
q0.75__f0.15__n1__RAR,0.75,0.15,1.0,1,97,34,10.856799124987907,9.969471473346257
q0.75__f0.15__n1__RAR,0.75,0.15,1.0,2,108,23,11.101213520693399,8.084018199163632
q0.75__f0.15__n1__RAR,0.75,0.15,1.0,3,106,25,9.676187286405758,13.982902573229294
q0.75__f0.15__n1__RAR,0.75,0.15,1.0,4,104,27,10.3577798869852,11.635157317066225
q0.75__f0.15__n2__RAR,0.75,0.15,2.0,0,109,22,11.081573819635809,7.90452198565424
q0.75__f0.15__n2__RAR,0.75,0.15,2.0,1,97,34,10.834231976588963,9.961713655253057
q0.75__f0.15__n2__RAR,0.75,0.15,2.0,2,108,23,11.0805330215401,8.075418224425293
q0.75__f0.15__n2__RAR,0.75,0.15,2.0,3,106,25,9.655378630873306,13.968450106401482
q0.75__f0.15__n2__RAR,0.75,0.15,2.0,4,104,27,10.34335168497012,11.600605866598025
q0.75__f0.15__n4__RAR,0.75,0.15,4.0,0,109,22,11.069638533825586,7.895417801244803
q0.75__f0.15__n4__RAR,0.75,0.15,4.0,1,97,34,10.827149254932209,9.936437514235095
q0.75__f0.15__n4__RAR,0.75,0.15,4.0,2,108,23,11.068501749141673,8.06679330496886
q0.75__f0.15__n4__RAR,0.75,0.15,4.0,3,106,25,9.637473712278876,13.9750837410049
q0.75__f0.15__n4__RAR,0.75,0.15,4.0,4,104,27,10.334594281485257,11.579596103549123
q0.75__f0.15__n6__RAR,0.75,0.15,6.0,0,109,22,11.061650742393953,7.89839338480534
q0.75__f0.15__n6__RAR,0.75,0.15,6.0,1,97,34,10.824173435352423,9.918683353907353
q0.75__f0.15__n6__RAR,0.75,0.15,6.0,2,108,23,11.061289641688631,8.064103185546838
q0.75__f0.15__n6__RAR,0.75,0.15,6.0,3,106,25,9.627505474986826,13.978118656271711
q0.75__f0.15__n6__RAR,0.75,0.15,6.0,4,104,27,10.330020949520023,11.566144325883442
q0.75__f0.15__n8__RAR,0.75,0.15,8.0,0,109,22,11.056189555712589,7.902308264373715
