cluster,radius_kpc,log_gbar,log_gtot,err_log_gbar,err_log_gtot,gbar,gtot,dataset,group_id,normalized_cluster,overlaps_fox_calibration,B_model,log_gtot_pred,residual_dex,sigma_residual_dex,ratio_predicted_observed,held_out_cluster,model
MACS1115,200.0,-10.445,-9.607,0.003,0.077,3.58921934645005e-11,2.4717241450161343e-10,Tian2020_CLASH,MACS1115,macs1115,False,5.199634326819652,-9.58832936930143,0.018670630698569113,0.07700656820663615,1.0439282028961405,MACS1115,constant_B
MACS1115,16.2,-10.291,-9.479,0.019,0.106,5.116818355403073e-11,3.31894457552611e-10,Tian2020_CLASH,MACS1115,macs1115,False,8.228586386838842,-9.369234696244297,0.1097653037557027,0.10610962435753932,1.2875535593116045,MACS1115,radial_B_diagnostic
MACS1115,100.0,-10.256,-9.542,0.005,0.091,5.546257129579104e-11,2.870780582024692e-10,Tian2020_CLASH,MACS1115,macs1115,False,6.071540064156251,-9.473353934091351,0.06864606590864852,0.09101051438503514,1.1712404584313514,MACS1115,radial_B_diagnostic
MACS1115,200.0,-10.445,-9.607,0.003,0.077,3.58921934645005e-11,2.4717241450161343e-10,Tian2020_CLASH,MACS1115,macs1115,False,5.407804722742477,-9.573612893948297,0.03338710605170192,0.07700642873731586,1.0799088643267232,MACS1115,radial_B_diagnostic
MACS1149,14.3,-10.224,-9.509,0.043,0.107,5.970352865838366e-11,3.097419299216578e-10,Tian2020_CLASH,MACS1149,macs1149,True,5.199694368104005,-9.519434467179003,-0.010434467179003093,0.10772898498071974,0.9762600839809604,MACS1149,constant_B
MACS1149,200.0,-10.614,-9.598,0.012,0.085,2.432204009073811e-11,2.5234807724805705e-10,Tian2020_CLASH,MACS1149,macs1149,True,5.199694368104005,-9.648258388617675,-0.0502583886176744,0.08511828675691172,0.8907208356008397,MACS1149,constant_B
MACS1149,400.0,-10.618,-9.686,0.008,0.07,2.4099054286865932e-11,2.0606299132700004e-10,Tian2020_CLASH,MACS1149,macs1149,True,5.199694368104005,-9.649755439551615,0.03624456044838453,0.07006415530460046,1.0870375852525584,MACS1149,constant_B
MACS1149,14.3,-10.224,-9.509,0.043,0.107,5.970352865838366e-11,3.097419299216578e-10,Tian2020_CLASH,MACS1149,macs1149,True,8.397786315700808,-9.345194988769087,0.16380501123091307,0.10746930626817447,1.4581594314394406,MACS1149,radial_B_diagnostic
MACS1149,200.0,-10.614,-9.598,0.012,0.085,2.432204009073811e-11,2.5234807724805705e-10,Tian2020_CLASH,MACS1149,macs1149,True,5.394996307404867,-9.633949605315335,-0.03594960531533431,0.08511673454602062,0.9205563851233917,MACS1149,radial_B_diagnostic
MACS1149,400.0,-10.618,-9.686,0.008,0.07,2.4099054286865932e-11,2.0606299132700004e-10,Tian2020_CLASH,MACS1149,macs1149,True,4.8028354072994555,-9.680391804608082,0.005608195391918258,0.07006605500139815,1.0129970844296177,MACS1149,radial_B_diagnostic
MACS1206,14.3,-10.542,-9.328,0.043,0.13,2.870780582024692e-11,4.69894108605216e-10,Tian2020_CLASH,MACS1206,macs1206,False,5.1936019857451265,-9.622373504831538,-0.29437350483153857,0.13090648584290399,0.5077225997689677,MACS1206,constant_B
MACS1206,100.0,-10.35,-9.407,0.008,0.106,4.4668359215096346e-11,3.917418771077831e-10,Tian2020_CLASH,MACS1206,macs1206,False,5.1936019857451265,-9.557913618934561,-0.15091361893456146,0.10602983471093942,0.7064580546227455,MACS1206,constant_B
MACS1206,200.0,-10.432,-9.487,0.005,0.086,3.698281797802659e-11,3.258367010020087e-10,Tian2020_CLASH,MACS1206,macs1206,False,5.1936019857451265,-9.58442290625415,-0.09742290625415073,0.08601605837029087,0.7990557733920721,MACS1206,constant_B
MACS1206,400.0,-10.523,-9.627,0.004,0.064,2.999162518987653e-11,2.360478233180573e-10,Tian2020_CLASH,MACS1206,macs1206,False,5.1936019857451265,-9.61561961124183,0.011380388758171378,0.06401559949660428,1.026550665215298,MACS1206,constant_B
MACS1206,600.0,-10.61,-9.744,0.004,0.054,2.4547089156850335e-11,1.8030177408595698e-10,Tian2020_CLASH,MACS1206,macs1206,False,5.1936019857451265,-9.647218594799245,0.09678140520075473,0.05402060911233221,1.249629891777937,MACS1206,constant_B
MACS1206,14.3,-10.542,-9.328,0.043,0.13,2.870780582024692e-11,4.69894108605216e-10,Tian2020_CLASH,MACS1206,macs1206,False,8.02220738443643,-9.452376820174376,-0.12437682017437623,0.1307683583426273,0.7509710233520654,MACS1206,radial_B_diagnostic
MACS1206,100.0,-10.35,-9.407,0.008,0.106,4.4668359215096346e-11,3.917418771077831e-10,Tian2020_CLASH,MACS1206,macs1206,False,5.954218302137077,-9.507605579652608,-0.10060557965260841,0.10602715849794919,0.7932213963480517,MACS1206,radial_B_diagnostic
MACS1206,200.0,-10.432,-9.487,0.005,0.086,3.698281797802659e-11,3.258367010020087e-10,Tian2020_CLASH,MACS1206,macs1206,False,5.3540598050346135,-9.573061077302397,-0.08606107730239643,0.08601578381777254,0.8202361817398439,MACS1206,radial_B_diagnostic
MACS1206,400.0,-10.523,-9.627,0.004,0.064,2.999162518987653e-11,2.360478233180573e-10,Tian2020_CLASH,MACS1206,macs1206,False,4.814394592418378,-9.64433321271661,-0.01733321271660948,0.06401615569967012,0.9608747637188306,MACS1206,radial_B_diagnostic
MACS1206,600.0,-10.61,-9.744,0.004,0.054,2.4547089156850335e-11,1.8030177408595698e-10,Tian2020_CLASH,MACS1206,macs1206,False,4.5242918743629925,-9.700192749975784,0.043807250024215705,0.054021722485771674,1.1061327476202485,MACS1206,radial_B_diagnostic
MACS1720,23.6,-9.948,-9.342,0.032,0.128,1.1271974561755093e-10,4.54988060150048e-10,Tian2020_CLASH,MACS1720,macs1720,False,5.16193797977956,-9.444098537070907,-0.10209853707090666,0.12832649329504556,0.790499251283529,MACS1720,constant_B
MACS1720,100.0,-10.371,-9.423,0.005,0.102,4.2559841313374265e-11,3.77572190925416e-10,Tian2020_CLASH,MACS1720,macs1720,False,5.16193797977956,-9.566802668934363,-0.143802668934363,0.10201251039315849,0.7181205106973141,MACS1720,constant_B
MACS1720,200.0,-10.531,-9.515,0.004,0.08,2.944421633798757e-11,3.0549211132155093e-10,Tian2020_CLASH,MACS1720,macs1720,False,5.16193797977956,-9.62078343045596,-0.1057834304559595,0.08001264470115718,0.7838204128969204,MACS1720,constant_B
MACS1720,400.0,-10.693,-9.67,0.005,0.059,2.0276827195212838e-11,2.1379620895022325e-10,Tian2020_CLASH,MACS1720,macs1720,False,5.16193797977956,-9.68132674674511,-0.011326746745110583,0.05903242277434031,0.9742563682604066,MACS1720,constant_B
MACS1720,23.6,-9.948,-9.342,0.032,0.128,1.1271974561755093e-10,4.54988060150048e-10,Tian2020_CLASH,MACS1720,macs1720,False,7.532801078263708,-9.32505604124742,0.016943958752580812,0.12817249334981418,1.039785983457919,MACS1720,radial_B_diagnostic
MACS1720,100.0,-10.371,-9.423,0.005,0.102,4.2559841313374265e-11,3.77572190925416e-10,Tian2020_CLASH,MACS1720,macs1720,False,5.972847909222971,-9.51278907023236,-0.08978907023236005,0.10201137705221182,0.8132253906123545,MACS1720,radial_B_diagnostic
