galaxy,status,n_points,alpha,gamma,alpha_eff,gamma_eff,alpha_scaling,gamma_scaling,force_match,rms_velocity
UGC06446,ok,17,2.8271,0.8579,4.814063667154826,0.6845220057285313,mass_power,mass_log,False,34.18583183896604
UGC06614,ok,13,2.8271,0.8579,1.1552046912106766,1.1494116700453767,mass_power,mass_log,False,50.95958720346398
UGC06628,ok,7,2.8271,0.8579,9.291782264162055,0.4703316096824425,mass_power,mass_log,False,8.06857555355479
UGC06667,ok,9,2.8271,0.8579,5.592144375946021,0.6357220964440444,mass_power,mass_log,False,34.82710600890426
UGC06786,ok,45,2.8271,0.8579,1.322747569434588,1.1052981488109324,mass_power,mass_log,False,49.62601600153684
UGC06787,ok,71,2.8271,0.8579,1.1755549156666172,1.1437236865528106,mass_power,mass_log,False,63.874480436970074
UGC06818,ok,8,2.8271,0.8579,7.645509349534674,0.5338510601475295,mass_power,mass_log,False,16.70242718981504
UGC06917,ok,11,2.8271,0.8579,4.039785547008866,0.7416371446270311,mass_power,mass_log,False,20.012147185343686
UGC06923,ok,6,2.8271,0.8579,6.7256342946065715,0.5756059412576808,mass_power,mass_log,False,5.009167964310145
UGC06930,ok,10,2.8271,0.8579,3.243176174895476,0.813177972246855,mass_power,mass_log,False,26.47390396253215
UGC06973,ok,9,2.8271,0.8579,2.9220158801635416,0.8471439490626094,mass_power,mass_log,False,88.38520473891734
UGC06983,ok,17,2.8271,0.8579,3.232865370972104,0.8142151634847287,mass_power,mass_log,False,39.632798372478945
UGC07089,ok,12,2.8271,0.8579,5.750812470239491,0.6266089735943479,mass_power,mass_log,False,10.326085850937707
UGC07125,ok,13,2.8271,0.8579,4.555407853813609,0.7025104282896698,mass_power,mass_log,False,13.861976529980256
UGC07151,ok,11,2.8271,0.8579,7.147813106708049,0.5557759865588547,mass_power,mass_log,False,0.4586725517865271
UGC07261,ok,7,2.8271,0.8579,6.491306383717326,0.5871567970107757,mass_power,mass_log,False,18.18409244907607
UGC07323,ok,10,2.8271,0.8579,7.471307744358756,0.5413584088708855,mass_power,mass_log,False,0.11777054233575134
UGC07399,ok,10,2.8271,0.8579,5.306499680050142,0.6527997711630543,mass_power,mass_log,False,41.3204992647654
UGC07524,ok,31,2.8271,0.8579,4.842394874661802,0.6826107270226695,mass_power,mass_log,False,18.02013505260739
UGC07559,ok,7,2.8271,0.8579,20.96569283994672,0.2052739638251877,mass_power,mass_log,False,3.605825692518541
UGC07577,ok,9,2.8271,0.8579,50.28148889442568,-0.07965021893529833,mass_power,mass_log,False,1.7615904615055704
UGC07603,ok,12,2.8271,0.8579,8.81310216567059,0.48755927442377583,mass_power,mass_log,False,22.251191692989316
UGC07608,ok,8,2.8271,0.8579,9.209224445901116,0.4732385847019909,mass_power,mass_log,False,23.054173998133606
UGC07690,ok,7,2.8271,0.8579,9.110599625071526,0.4767456568028558,mass_power,mass_log,False,9.526261920099055
UGC07866,ok,7,2.8271,0.8579,21.771881448134756,0.19298390731923454,mass_power,mass_log,False,6.867196991472636e-10
UGC08286,ok,17,2.8271,0.8579,5.257802333602966,0.6558026868239641,mass_power,mass_log,False,30.612458907992966
UGC08490,ok,30,2.8271,0.8579,4.991742977467573,0.6727167162270087,mass_power,mass_log,False,36.57914736379223
UGC08550,ok,11,2.8271,0.8579,8.890760016114895,0.4847017121675408,mass_power,mass_log,False,23.128435665134333
UGC08699,ok,41,2.8271,0.8579,1.757904509976935,1.0126594176921409,mass_power,mass_log,False,36.132826863688436
UGC08837,ok,8,2.8271,0.8579,14.652870359836196,0.3219638475194948,mass_power,mass_log,False,3.084653263330983
UGC09037,ok,22,2.8271,0.8579,1.9234046056925094,0.9833528892092807,mass_power,mass_log,False,31.023068198634128
UGC09133,ok,68,2.8271,0.8579,0.8282240659252038,1.2577949936290564,mass_power,mass_log,False,60.76281216109105
UGC10310,ok,7,2.8271,0.8579,6.14452864702106,0.6050394479483963,mass_power,mass_log,False,13.094297027124481
UGC11455,ok,36,2.8271,0.8579,1.0456943584225167,1.1818523042110636,mass_power,mass_log,False,39.8044395430191
UGC11557,ok,12,2.8271,0.8579,5.2107371048680395,0.6587315061166341,mass_power,mass_log,False,20.837740296482337
UGC11820,ok,10,2.8271,0.8579,5.813273470862796,0.6230903126500607,mass_power,mass_log,False,24.267178093313486
UGC11914,ok,65,2.8271,0.8579,1.804653191950026,1.0041105624473372,mass_power,mass_log,False,19.13060509292795
UGC12506,ok,31,2.8271,0.8579,1.1031430714652097,1.1644319967108623,mass_power,mass_log,False,77.13434490798907
UGC12632,ok,15,2.8271,0.8579,5.371945299220335,0.648807191644021,mass_power,mass_log,False,23.65753416135305
UGC12732,ok,16,2.8271,0.8579,3.9659283429163135,0.747647230674441,mass_power,mass_log,False,37.007023172927745
UGCA281,ok,7,2.8271,0.8579,29.561172288339513,0.09336463849804955,mass_power,mass_log,False,6.911106340685908e-10
UGCA442,ok,8,2.8271,0.8579,8.382517386452292,0.5038750307837551,mass_power,mass_log,False,24.822667498931693
UGCA444,ok,36,2.8271,0.8579,16.25631176349946,0.28813936326184797,mass_power,mass_log,False,11.876148039487138
