galaxy,split,law,points,velocity_RMSE_km_s,log_acceleration_RMSE_dex,mean_log_residual_dex
NGC3877,train,standard_mond,11,16.245662689062133,0.10592374265748464,0.05421184765338491
NGC3893,train,baryons,10,58.424136708413236,0.35406302047645166,0.3174268346276987
NGC3893,train,li2018_rar_mond,10,6.694054450430518,0.03438575968365953,0.006436152625991698
NGC3893,train,simple_mond,10,6.883573480663043,0.03644293907105466,-0.0007110549185241645
NGC3893,train,standard_mond,10,19.268333434069437,0.09567119884620252,0.0851310618841985
NGC3917,development,baryons,16,52.53647724226325,0.47819978726661505,0.4747428509977688
NGC3917,development,li2018_rar_mond,16,5.2653664901587325,0.05238616022831392,0.006976318982704097
NGC3917,development,simple_mond,16,5.170741618300474,0.05181836260665941,0.004394466884311979
NGC3917,development,standard_mond,16,11.4994152378055,0.09371127402009127,0.07564618321939395
NGC3949,outside_P0630_split,baryons,6,23.151466638507845,0.14006660340411484,0.12334131131712738
NGC3949,outside_P0630_split,li2018_rar_mond,6,10.162049518794117,0.05664092847142037,-0.05020812542315797
NGC3949,outside_P0630_split,simple_mond,6,12.154492014533028,0.06762937753706044,-0.061628026603938624
NGC3949,outside_P0630_split,standard_mond,6,8.521634022745522,0.04829733796128397,0.038791744523125594
NGC3953,holdout,baryons,8,49.90378454420273,0.230058104737782,0.22911344441782905
NGC3953,holdout,li2018_rar_mond,8,10.497700483222955,0.04407759205424846,0.004162683826222653
NGC3953,holdout,simple_mond,8,10.343579393342713,0.04200401980868586,-0.004717910477330098
NGC3953,holdout,standard_mond,8,23.56503174258606,0.10604162715289929,0.09655796220161617
NGC3972,development,baryons,9,46.82833360867175,0.4560218126643397,0.4538001733743203
NGC3972,development,li2018_rar_mond,9,6.377933012993163,0.05396871295355404,0.04680479713059133
NGC3972,development,simple_mond,9,6.048644597232269,0.05104520294299062,0.04337605066042406
NGC3972,development,standard_mond,9,14.787747135932225,0.12641945621453082,0.12353695757985309
NGC3992,train,baryons,9,105.26043069104036,0.47853614717826237,0.470478702790952
NGC3992,train,li2018_rar_mond,9,19.65594519405401,0.07163842711407425,0.051154249966939104
NGC3992,train,simple_mond,9,18.539526070270277,0.06745178408670625,0.04729580952664953
NGC3992,train,standard_mond,9,37.71234255536974,0.14098457172837117,0.12580940658597659
NGC4010,development,baryons,9,42.09058532689177,0.3805520386724919,0.36819568304852557
NGC4010,development,li2018_rar_mond,9,9.412729185573244,0.0802803865497332,-0.05665394161722216
NGC4010,development,simple_mond,9,9.759030521458408,0.0829459608190264,-0.059849972124504505
NGC4010,development,standard_mond,9,7.237732428704634,0.05599225241114595,0.017661670938402447
NGC4013,train,baryons,36,65.69129911121439,0.4307525971959786,0.3934474536657504
NGC4013,train,li2018_rar_mond,36,13.492132335857278,0.06412280324813321,-0.05087942094016832
NGC4013,train,simple_mond,36,14.334015831746049,0.06762108271101466,-0.0547549623377008
NGC4013,train,standard_mond,36,8.138789745340121,0.03968889394089642,0.019500041623636305
NGC4051,outside_P0630_split,baryons,6,25.483971595760817,0.16668226264239575,0.16197223910186306
NGC4051,outside_P0630_split,li2018_rar_mond,6,25.36355952823091,0.13131380369175427,-0.11943173735289787
NGC4051,outside_P0630_split,simple_mond,6,26.48235636970095,0.13696621091069308,-0.12595906501200224
NGC4051,outside_P0630_split,standard_mond,6,11.69219491916676,0.06362707530015166,-0.027910469691896478
NGC4068,outside_P0630_split,baryons,2,10.812933317654833,0.3397480594515468,0.33968602620917465
