field,image_id,split,source_family,source_redshift,x_arcsec,y_arcsec,correction_x_arcsec,correction_y_arcsec,correction_magnitude_arcsec,correction_radial_arcsec,correction_tangential_arcsec,correction_convergence,correction_shear,correction_rotation,correction_gradient_spectral_norm,fixed_full_lens_mapping_determinant
P0654_padded_gather,6a,training,6,3.0815,-9.90574798751465,17.874595907999986,-0.1243845227036913,-0.041619567798355406,0.1311628678854919,0.023888811156961516,0.1289690761905893,-0.0006916267883680383,0.005236167988343391,-0.00020030933332436385,0.005956217600109926,0.27598522662153163
P0654_padded_gather,6b,training,6,3.0815,0.8049590237318596,-5.299632900000001,0.30982871230703896,0.22426297961456354,0.3824757704684573,-0.17519384932910567,0.3399923971983648,-0.006968358450550605,0.01626608826888066,-0.00018520365396068605,0.02323690743801712,-0.000577075140158925
P0654_padded_gather,6c,spent_heldout,6,3.0815,1.7125179231929197,-6.634811124000012,0.28370119177284964,0.23350641689401258,0.3674392642927748,-0.15519375295108578,0.33305631954516784,-0.007045400627834625,0.01209657297643675,0.0010382217916428405,0.01921805979418307,0.027734606353814167
P0654_padded_gather,7a,training,7,3.427,-10.01842785083087,10.257536087999991,-0.104652886837067,0.029122696511875813,0.10862945353565383,0.09395726602909418,0.05451963257206342,-0.004811750021768198,0.013092629068018885,-3.152502230891613e-05,0.017904482359529114,0.155292116316142
P0654_padded_gather,7b,training,7,3.427,-7.485830922116288,-2.1700512000000174,0.03379232095927563,0.6102773288269782,0.6112121882259928,-0.20237260669339296,-0.5767370866314455,-0.012090238801651734,0.026641144681567638,0.0035596680249570106,0.03924452163890992,-0.22406776847038917
P0654_padded_gather,7c,spent_heldout,7,3.427,3.7040355081620837,-19.321482528000033,-0.34130632841503705,0.2816135958662871,0.4424886746492995,-0.34083736403870674,-0.28218100302472476,0.020031140626809996,0.06661072540153819,-0.0008604937378756117,0.08666033996850582,0.22883306498561515
P0655_padded_deposit,1a,training,1,0.6786,-5.748113029341908,4.227443603999998,-0.10588292601131649,0.05599186170666774,0.11977596836634855,0.11847196027239576,0.017626038332887117,-0.007987096532155145,0.027382395425317986,0.0003992314278341083,0.03537946343471588,0.14721426385158926
P0655_padded_deposit,1b,training,1,0.6786,-4.783674198960802,-0.969769187999997,-0.1485868827589443,0.9057366936409048,0.9178436794659418,-0.03433003441813093,-0.917201432986467,-0.06733823881258663,0.0785380885489356,-0.02307615464443788,0.14972058161819357,-0.09331484200239422
P0655_padded_deposit,1c,spent_heldout,1,0.6786,0.456839445991538,-8.935221672000038,-0.3931294214224688,0.2676719198734674,0.4756038253386037,-0.28739642452602115,-0.3789489330323706,0.012682798048842814,0.1091060591974815,-0.02283567223969274,0.13522733965971007,0.19446719026064935
P0655_padded_deposit,2a,training,2,0.916,-6.776271782658472,11.277998675999983,-0.15930474960285496,-0.041746605303798784,0.16468388597679942,0.04626178243930876,0.15805261714365104,-0.005805546600340071,0.015608851461517657,0.0004645415719229176,0.02143295398471939,0.25544925572453964
P0655_padded_deposit,2b,training,2,0.916,-0.7772390574582798,-4.156659036000021,0.33487998009069747,0.24905072729571848,0.41733783177669415,-0.30635901110797814,0.28339905106583196,-0.020751443634308142,0.16969973692562207,0.0014768787460435473,0.19050366885538916,0.01786846662043282
P0655_padded_deposit,2c,spent_heldout,2,0.916,0.24443970348725166,-5.292556488000027,0.06817640169229376,0.39253923508281546,0.39841570353979633,-0.3889758271698331,0.08621414445817456,0.06239673918166662,0.19867967294681563,-0.02003368733180952,0.2642136464919444,0.015513513574531124
P0655_padded_deposit,3a,training,3,1.5194,-2.0174375536347493,8.154932903999962,-0.03533553146666997,-0.08418153150797843,0.09129693330589361,-0.07323225159907544,0.054517587591441534,0.026337539956895438,0.032313052557605804,-0.0009267135483191982,0.058666891158115256,0.061635339313739844
P0655_padded_deposit,3b,training,3,1.5194,2.98907637506174,5.134105511999998,0.24808974439058776,-0.10655455282173666,0.2700044332947655,0.03273893501847085,-0.26801223131171414,0.005074876233027298,0.012801704841892794,-0.0007062637162254248,0.017925490280160276,-0.11649049334858248
P0655_padded_deposit,3c,training,3,1.5194,1.5634781039797112,3.965703875999982,0.25794767208269376,-0.09453072599250305,0.27472360599255136,0.006665764653848522,-0.2746427265942612,0.03474652452353656,0.03293607374105239,0.0015095908289133875,0.06771537550137338,-0.12916910649020763
P0655_padded_deposit,3d,spent_heldout,3,1.5194,7.381071049134713,-15.531179832000019,0.719157496555627,0.8478291854598686,1.1117561929531588,-0.4570654157333617,1.0134559873572164,0.3469391203141853,0.29586060179884077,0.0006022537865690847,0.6428002448406878,-0.08005826060195925
P0655_padded_deposit,4a,training,4,1.5202,-3.4189158540684597,10.495438775999993,-0.12138868219729691,-0.07618492505667457,0.14331557825821822,-0.03484031616384344,0.13901621251167395,0.012005594488562338,0.018202587893407784,-0.00016976244012568975,0.030209382566003626,0.13285013787875236
P0655_padded_deposit,4b,training,4,1.5202,3.486595771864287,3.41780230799999,0.2511972622774043,-0.1297851501016649,0.28274414187136526,0.08853111127873416,-0.2685265202886432,-0.01877420862769874,0.023367363455970274,0.005598988419569656,0.04295867737104072,-0.1807918269250801
P0655_padded_deposit,4c,spent_heldout,4,1.5202,6.864471675477358,-13.912761239999998,0.8143799888020918,1.0212416950533105,1.3061965265137763,-0.5554965229868054,1.1821899081053873,0.3414204201918497,0.28175479515848656,0.02201544016981305,0.6238842778545118,-0.0735093056533166
P0655_padded_deposit,5a,training,5,1.521,5.239793645663579,14.528709863999984,0.21399343085683606,-0.18325405724626095,0.2817361140271076,-0.09978590197527595,-0.263472980994401,-0.031097284775095935,0.0340971371115302,0.0001494672785766482,0.0651947810874133,0.1653871367233162
P0655_padded_deposit,5b,training,5,1.521,13.2029839889991,1.9107456839999704,-0.04545629660658371,0.6431828471508515,0.6447871352394225,0.04713456680183023,0.6430620361852075,0.08229234518539544,0.08867260387820328,0.007127275582880406,0.17127301630663247,-0.12278581965356393
P0655_padded_deposit,5c,spent_heldout,5,1.521,13.970143058665721,-3.314626776000029,-0.052410277081512954,-0.16219574323125463,0.17045320843592252,-0.013550700565548517,-0.16991372746274178,-0.0042730228884285335,0.021402763431441825,-0.001887952911938523,0.026074282542259127,0.0783535236317957
P0655_padded_deposit,6a,training,6,3.0815,-9.90574798751465,17.874595907999986,-0.08958243037509776,-0.16905206264874365,0.19132070383966288,-0.10444163698830054,0.1602983349286824,-0.010647524616037018,0.03049035954653037,0.004908543876161603,0.04221484603564016,0.28883201163856653
P0655_padded_deposit,6b,training,6,3.0815,0.8049590237318596,-5.299632900000001,0.15267647776699297,0.6028520748428463,0.6218848213340311,-0.5730890927540296,0.24147385525564272,0.0687026422330611,0.2001828170354338,0.023253559447751898,0.2727140591094127,-0.014333808966966432
P0655_padded_deposit,6c,spent_heldout,6,3.0815,1.7125179231929197,-6.634811124000012,0.18065113401932759,0.655456467038801,0.6798955893410811,-0.589508115520951,0.3387302675291845,0.19586849600281522,0.18846946047219443,0.02061953858643925,0.3854202997644465,-0.02263730868757396
P0655_padded_deposit,7a,training,7,3.427,-10.01842785083087,10.257536087999991,0.01759047923871579,0.041442875868833245,0.04502151619089713,0.017357245606744585,-0.04154109946877138,-0.14402049217521273,0.050436750149448394,-0.012766341539238071,0.19502195562596664,0.2764766985136484
P0655_padded_deposit,7b,training,7,3.427,-7.485830922116288,-2.1700512000000174,0.25916017003378033,1.4523286480151878,1.4752703127147788,-0.6532771411568273,-1.322743917929515,0.32287050044573024,0.6063129600678077,0.004155494486794142,0.9292102009858837,-0.9592534580671022
P0655_padded_deposit,7c,spent_heldout,7,3.427,3.7040355081620837,-19.321482528000033,-0.8805538606017455,0.13645336074418968,0.8910637581447368,-0.2998011336783917,-0.8391149511980902,0.008249420467364155,0.03126353254589033,-0.01096408829875703,0.044984471663542136,0.24515544158627353
