radius_over_response_length,rational_point_force_ratio,entire_point_force_ratio
1.775414325848303e-09,1.0,1.0
1.7984648772986389e-09,1.0,1.0
1.821814698566971e-09,1.0,1.0
1.8454676751318815e-09,1.0,1.0
1.8694277429178805e-09,1.0,1.0
1.893698888950356e-09,1.0,1.0
1.9182851520190276e-09,1.0,1.0
1.94319062335001e-09,1.0,1.0
1.9684194472866072e-09,1.0,1.0
1.993975821978944e-09,1.0,1.0
2.0198640000825565e-09,1.0,1.0
2.046088289466015e-09,1.0,1.0
2.0726530539278155e-09,1.0,1.0
2.0995627139224938e-09,1.0,1.0
2.1268217472962126e-09,1.0,1.0
2.1544346900318866e-09,1.0,1.0
2.1824061370039844e-09,1.0,1.0
2.210740742743128e-09,1.0,1.0
2.2394432222106213e-09,1.0,1.0
2.2685183515830324e-09,1.0,1.0
2.297970969046965e-09,1.0,1.0
2.327805975604145e-09,1.0,1.0
2.3580283358869623e-09,1.0,1.0
2.3886430789846004e-09,1.0,1.0
2.4196552992798913e-09,1.0,1.0
2.451070157297036e-09,1.0,1.0
2.48289288056033e-09,1.0,1.0
2.5151287644640394e-09,1.0,1.0
2.54778317315357e-09,1.0,1.0
2.580861540418077e-09,1.0,1.0
2.614369370594661e-09,1.0,1.0
2.6483122394843108e-09,1.0,1.0
2.6826957952797275e-09,1.0,1.0
2.717525759505204e-09,1.0,1.0
2.752807927968702e-09,1.0,1.0
2.7885481717262918e-09,1.0,1.0
2.824752438059112e-09,1.0,1.0
2.861426751463017e-09,1.0,1.0
2.898577214651068e-09,1.0,1.0
2.936210009569044e-09,1.0,1.0
2.974331398424135e-09,1.0,1.0
3.012947724726992e-09,1.0,1.0
3.0520654143473054e-09,1.0,1.0
3.091690976583089e-09,1.0,1.0
3.1318310052438447e-09,1.0,1.0
3.1724921797477946e-09,1.0,1.0
3.213681266233353e-09,1.0,1.0
3.255405118685032e-09,1.0,1.0
3.2976706800739673e-09,1.0,1.0
3.3404849835132444e-09,1.0,1.0
3.383855153428233e-09,1.0,1.0
3.4277884067421115e-09,1.0,1.0
3.4722920540767816e-09,1.0,1.0
3.51737350096938e-09,1.0,1.0
3.5630402491045813e-09,1.0,1.0
3.6092998975628988e-09,1.0,1.0
3.6561601440851937e-09,1.0,1.0
3.7036287863536036e-09,1.0,1.0
3.751713723289098e-09,1.0,1.0
3.800422956365882e-09,1.0,1.0
3.849764590942866e-09,1.0,1.0
3.89974683761242e-09,1.0,1.0
3.950378013566641e-09,1.0,1.0
4.0016665439813566e-09,1.0,1.0
4.053620963418102e-09,1.0,1.0
4.106249917244294e-09,1.0,1.0
4.1595621630718425e-09,1.0,1.0
4.21356657221445e-09,1.0,1.0
4.268272131163817e-09,1.0,1.0
4.323687943085024e-09,1.0,1.0
4.379823229331325e-09,1.0,1.0
4.436687330978607e-09,1.0,1.0
4.494289710379771e-09,1.0,1.0
4.552639952739298e-09,1.0,1.0
4.611747767708251e-09,1.0,1.0
4.671622990999996e-09,1.0,1.0
4.732275586026887e-09,1.0,1.0
4.793715645558229e-09,1.0,1.0
4.855953393399665e-09,1.0,1.0
4.918999186094567e-09,1.0,1.0
4.982863514647316e-09,1.0,1.0
5.047557006269053e-09,1.0,1.0
5.113090426146081e-09,1.0,1.0
5.179474679231223e-09,1.0,1.0
5.246720812058436e-09,1.0,1.0
5.314840014580988e-09,1.0,1.0
5.3838436220335e-09,1.0,1.0
